"operation";"size";"time"
"v o v";1000;0.000030
"v o v";1000;0.000011
"v o v";1000;0.000011
"v o v";1000;0.000011
"v o v";1000;0.000010
"v o v";1000;0.000011
"v o v";1000;0.000011
"v o v";1000;0.000011
"v o v";1000;0.000010
"v o v";1000;0.000011
"v o v";5000;0.000051
"v o v";5000;0.000058
"v o v";5000;0.000052
"v o v";5000;0.000051
"v o v";5000;0.000056
"v o v";5000;0.000054
"v o v";5000;0.000074
"v o v";5000;0.000079
"v o v";5000;0.000055
"v o v";5000;0.000051
"v o v";10000;0.000107
"v o v";10000;0.000060
"v o v";10000;0.000211
"v o v";10000;0.000045
"v o v";10000;0.000150
"v o v";10000;0.000089
"v o v";10000;0.000138
"v o v";10000;0.000099
"v o v";10000;0.000096
"v o v";10000;0.000121
"v o v";50000;0.000160
"v o v";50000;0.000369
"v o v";50000;0.000306
"v o v";50000;0.000220
"v o v";50000;0.000106
"v o v";50000;0.000102
"v o v";50000;0.000093
"v o v";50000;0.000095
"v o v";50000;0.000093
"v o v";50000;0.000093
"v o v";100000;0.000191
"v o v";100000;0.000187
"v o v";100000;0.000190
"v o v";100000;0.000210
"v o v";100000;0.000179
"v o v";100000;0.000183
"v o v";100000;0.000211
"v o v";100000;0.000182
"v o v";100000;0.000180
"v o v";100000;0.000183
"v o v";500000;0.000964
"v o v";500000;0.000960
"v o v";500000;0.000932
"v o v";500000;0.000970
"v o v";500000;0.000975
"v o v";500000;0.001048
"v o v";500000;0.000967
"v o v";500000;0.000979
"v o v";500000;0.001122
"v o v";500000;0.001049
"v o v";1000000;0.001972
"v o v";1000000;0.001973
"v o v";1000000;0.001990
"v o v";1000000;0.002007
"v o v";1000000;0.001923
"v o v";1000000;0.002145
"v o v";1000000;0.001936
"v o v";1000000;0.002032
"v o v";1000000;0.001946
"v o v";1000000;0.001935
"v o v";5000000;0.009792
"v o v";5000000;0.009788
"v o v";5000000;0.009916
"v o v";5000000;0.009960
"v o v";5000000;0.010041
"v o v";5000000;0.010095
"v o v";5000000;0.010004
"v o v";5000000;0.009743
"v o v";5000000;0.009909
"v o v";5000000;0.009955
"v o v";10000000;0.019898
"v o v";10000000;0.020338
"v o v";10000000;0.019799
"v o v";10000000;0.019816
"v o v";10000000;0.019589
"v o v";10000000;0.019807
"v o v";10000000;0.020130
"v o v";10000000;0.019891
"v o v";10000000;0.019669
"v o v";10000000;0.019561
"v o v";50000000;0.118158
"v o v";50000000;0.102651
"v o v";50000000;0.134832
"v o v";50000000;0.101095
"v o v";50000000;0.104718
"v o v";50000000;0.100956
"v o v";50000000;0.099231
"v o v";50000000;0.098766
"v o v";50000000;0.099322
"v o v";50000000;0.099117
"m * v";100;0.000021
"m * v";100;0.000019
"m * v";100;0.000019
"m * v";100;0.000037
"m * v";100;0.000019
"m * v";100;0.000019
"m * v";100;0.000031
"m * v";100;0.000020
"m * v";100;0.000021
"m * v";100;0.000034
"m * v";500;0.000458
"m * v";500;0.000452
"m * v";500;0.000451
"m * v";500;0.000455
"m * v";500;0.000451
"m * v";500;0.000484
"m * v";500;0.000452
"m * v";500;0.000450
"m * v";500;0.000518
"m * v";500;0.000450
"m * v";1000;0.001948
"m * v";1000;0.001859
"m * v";1000;0.001950
"m * v";1000;0.001873
"m * v";1000;0.001870
"m * v";1000;0.001872
"m * v";1000;0.001966
"m * v";1000;0.001876
"m * v";1000;0.001876
"m * v";1000;0.001877
"m * v";4000;0.030643
"m * v";4000;0.030404
"m * v";4000;0.030464
"m * v";4000;0.030204
"m * v";4000;0.030332
"m * v";4000;0.030668
"m * v";4000;0.030181
"m * v";4000;0.030570
"m * v";4000;0.030271
"m * v";4000;0.030252
"m * v";8000;0.122663
"m * v";8000;0.139521
"m * v";8000;0.122563
"m * v";8000;0.146150
"m * v";8000;0.124471
"m * v";8000;0.122826
"m * v";8000;0.156478
"m * v";8000;0.171179
"m * v";8000;0.154204
"m * v";8000;0.197053
"m * v";12000;0.318624
"m * v";12000;0.274274
"m * v";12000;0.273416
"m * v";12000;0.274285
"m * v";12000;0.274540
"m * v";12000;0.275181
"m * v";12000;0.272777
"m * v";12000;0.277749
"m * v";12000;0.272953
"m * v";12000;0.393173
"m * v";16000;0.486876
"m * v";16000;0.489042
"m * v";16000;0.493027
"m * v";16000;0.697329
"m * v";16000;0.524386
"m * v";16000;0.520106
"m * v";16000;0.488724
"m * v";16000;0.488519
"m * v";16000;0.487377
"m * v";16000;0.518826
"m * v";20000;0.958503
"m * v";20000;0.818314
"m * v";20000;0.761921
"m * v";20000;0.765746
"m * v";20000;0.892226
"m * v";20000;0.865760
"m * v";20000;0.869799
"m * v";20000;0.815853
"m * v";20000;0.827375
"m * v";20000;0.789771
