func,size,time
C naive -O0,500,0.953558
C naive -O0,500,0.899846
C naive -O0,500,0.880278
C naive -O0,500,0.887252
C naive -O0,500,0.903888
C naive -O0,500,0.919001
C naive -O0,500,0.898939
C naive -O0,500,0.896848
C naive -O0,500,0.879653
C naive -O0,500,0.908070
C naive -O0,750,3.919021
C naive -O0,750,3.918614
C naive -O0,750,3.915370
C naive -O0,750,3.918556
C naive -O0,750,3.904325
C naive -O0,750,3.902792
C naive -O0,750,3.901491
C naive -O0,750,3.923663
C naive -O0,750,3.896725
C naive -O0,750,3.902165
C naive -O0,1000,8.270814
C naive -O0,1000,8.257413
C naive -O0,1000,8.282320
C naive -O0,1000,8.271617
C naive -O0,1000,8.244642
C naive -O0,1000,8.264372
C naive -O0,1000,8.283481
C naive -O0,1000,8.237750
C naive -O0,1000,8.255232
C naive -O0,1000,8.251051
C better -O0,500,0.634038
C better -O0,500,0.633607
C better -O0,500,0.635224
C better -O0,500,0.635396
C better -O0,500,0.633943
C better -O0,500,0.638940
C better -O0,500,0.632548
C better -O0,500,0.635318
C better -O0,500,0.633748
C better -O0,500,0.633153
C better -O0,750,2.180845
C better -O0,750,2.176801
C better -O0,750,2.192162
C better -O0,750,2.179831
C better -O0,750,2.179335
C better -O0,750,2.180114
C better -O0,750,2.177337
C better -O0,750,2.177888
C better -O0,750,2.176370
C better -O0,750,2.176936
C better -O0,1000,5.179442
C better -O0,1000,5.198973
C better -O0,1000,5.187477
C better -O0,1000,5.168450
C better -O0,1000,5.163189
C better -O0,1000,5.173898
C better -O0,1000,5.172434
C better -O0,1000,5.168131
C better -O0,1000,5.174068
C better -O0,1000,5.170594
C blas -O0,500,0.398453
C blas -O0,500,0.403993
C blas -O0,500,0.398848
C blas -O0,500,0.397823
C blas -O0,500,0.400779
C blas -O0,500,0.397690
C blas -O0,500,0.405385
C blas -O0,500,0.397879
C blas -O0,500,0.399617
C blas -O0,500,0.399420
C blas -O0,750,1.378429
C blas -O0,750,1.381329
C blas -O0,750,1.374366
C blas -O0,750,1.377244
C blas -O0,750,1.379007
C blas -O0,750,1.374488
C blas -O0,750,1.381016
C blas -O0,750,1.373039
C blas -O0,750,1.377496
C blas -O0,750,1.374443
C blas -O0,1000,3.294200
C blas -O0,1000,3.297905
C blas -O0,1000,3.285548
C blas -O0,1000,3.292526
C blas -O0,1000,3.287057
C blas -O0,1000,3.289644
C blas -O0,1000,3.290962
C blas -O0,1000,3.292669
C blas -O0,1000,3.290379
C blas -O0,1000,3.295520
C naive -O0,1500,40.092613
C naive -O0,1500,39.896551
C naive -O0,1500,39.829714
C naive -O0,1500,39.872573
C naive -O0,1500,40.119173
C naive -O0,2000,65.638885
C naive -O0,2000,64.958541
C naive -O0,2000,64.962933
C naive -O0,2000,65.136096
C naive -O0,2000,65.296844
C naive -O0,2500,178.911411
C naive -O0,2500,179.743176
C naive -O0,2500,179.521915
C naive -O0,2500,179.047926
C naive -O0,2500,178.437067
C naive -O0,3000,262.405098
C naive -O0,3000,260.479821
C naive -O0,3000,259.858938
C naive -O0,3000,259.748899
C naive -O0,3000,259.788518
C naive -O0,3500,515.063870
C naive -O0,3500,515.002399
C naive -O0,3500,515.174339
C naive -O0,3500,515.448666
C naive -O0,3500,515.704273
C better -O0,1500,16.984488
C better -O0,1500,16.965053
C better -O0,1500,16.944668
C better -O0,1500,17.057261
C better -O0,1500,17.015145
C better -O0,2000,40.430382
C better -O0,2000,40.482780
C better -O0,2000,40.423651
C better -O0,2000,40.579037
C better -O0,2000,40.600652
C better -O0,2500,78.317203
C better -O0,2500,78.155152
C better -O0,2500,78.649844
C better -O0,2500,79.718967
C better -O0,2500,80.033357
C better -O0,3000,137.000598
C better -O0,3000,135.381454
C better -O0,3000,134.866828
C better -O0,3000,135.902249
C better -O0,3000,135.429084
C better -O0,3500,215.894928
C better -O0,3500,216.766941
C better -O0,3500,215.979779
C better -O0,3500,218.464621
C better -O0,3500,216.470452
C blas -O0,1500,10.777038
C blas -O0,1500,10.783898
C blas -O0,1500,10.783039
C blas -O0,1500,10.779768
C blas -O0,1500,10.766065
C blas -O0,2000,25.616470
C blas -O0,2000,25.617066
C blas -O0,2000,25.619508
C blas -O0,2000,25.643429
C blas -O0,2000,25.593201
C blas -O0,2500,49.930286
C blas -O0,2500,49.946355
C blas -O0,2500,49.977947
C blas -O0,2500,49.973810
C blas -O0,2500,49.954555
C blas -O0,3000,86.214205
C blas -O0,3000,86.337668
C blas -O0,3000,86.232771
C blas -O0,3000,86.251701
C blas -O0,3000,86.302479
C blas -O0,3500,136.936403
C blas -O0,3500,136.898537
C blas -O0,3500,136.895288
C blas -O0,3500,136.998627
C blas -O0,3500,136.972634
